--- Truth Table for 3 Inputs ---
In0 In1 In2 | AND | OR  | XOR
------------------------------
0   0   0   | 0   | 0   | 0  
0   0   1   | 0   | 15  | 15 
0   1   0   | 0   | 15  | 15 
0   1   1   | 0   | 15  | 0  
1   0   0   | 0   | 15  | 15 
1   0   1   | 0   | 15  | 0  
1   1   0   | 0   | 15  | 0  
1   1   1   | 15  | 15  | 0  

--- Truth Table for 4 Inputs ---
In0 In1 In2 In3 | AND | OR  | XOR
----------------------------------
0   0   0   0   | 0   | 0   | 0  
0   0   0   1   | 0   | 15  | 15 
0   0   1   0   | 0   | 15  | 15 
0   0   1   1   | 0   | 15  | 0  
0   1   0   0   | 0   | 15  | 15 
0   1   0   1   | 0   | 15  | 0  
0   1   1   0   | 0   | 15  | 0  
0   1   1   1   | 0   | 15  | 0  
1   0   0   0   | 0   | 15  | 15 
1   0   0   1   | 0   | 15  | 0  
1   0   1   0   | 0   | 15  | 0  
1   0   1   1   | 0   | 15  | 0  
1   1   0   0   | 0   | 15  | 0  
1   1   0   1   | 0   | 15  | 0  
1   1   1   0   | 0   | 15  | 0  
1   1   1   1   | 15  | 15  | 0  

--- Truth Table for 5 Inputs ---
In0 In1 In2 In3 In4 | AND | OR  | XOR
--------------------------------------
0   0   0   0   0   | 0   | 0   | 0  
0   0   0   0   1   | 0   | 15  | 15 
0   0   0   1   0   | 0   | 15  | 15 
0   0   0   1   1   | 0   | 15  | 0  
0   0   1   0   0   | 0   | 15  | 15 
0   0   1   0   1   | 0   | 15  | 0  
0   0   1   1   0   | 0   | 15  | 0  
0   0   1   1   1   | 0   | 15  | 0  
0   1   0   0   0   | 0   | 15  | 15 
0   1   0   0   1   | 0   | 15  | 0  
0   1   0   1   0   | 0   | 15  | 0  
0   1   0   1   1   | 0   | 15  | 0  
0   1   1   0   0   | 0   | 15  | 0  
0   1   1   0   1   | 0   | 15  | 0  
0   1   1   1   0   | 0   | 15  | 0  
0   1   1   1   1   | 0   | 15  | 0  
1   0   0   0   0   | 0   | 15  | 15 
1   0   0   0   1   | 0   | 15  | 0  
1   0   0   1   0   | 0   | 15  | 0  
1   0   0   1   1   | 0   | 15  | 0  
